	Kingdom	Phylum	Class	Order	Family	Genus
SIP141	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP142	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
SIP143	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP144	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	Not_annotated
SIP145	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP146	Archaea	Thaumarchaeota	Marine_Benthic_Group_A	Not_annotated	Not_annotated	Not_annotated
SIP147	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
SIP148	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Henriciella
SIP149	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
SIP150	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
SIP151	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP152	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP153	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP154	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Not_annotated
SIP155	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
SIP156	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda
SIP157	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
SIP158	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
SIP160	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP161	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	Not_annotated	Not_annotated
SIP162	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Maricaulis
SIP163	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	Not_annotated	Not_annotated
SIP164	Archaea	Thaumarchaeota	Marine_Group_I	Unknown_Order	Unknown_Family	Candidatus_Nitrosopelagicus
SIP165	Archaea	Thaumarchaeota	Marine_Group_I	Unknown_Order	Unknown_Family	Candidatus_Nitrosopumilus
SIP166	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Not_annotated
SIP167	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Shimia
SIP168	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
SIP169	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP170	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP171	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
SIP172	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
SIP173	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
SIP174	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
SIP175	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
SIP176	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
SIP177	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP178	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
SIP179	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
SIP180	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP181	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP182	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP183	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
SIP184	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Umboniibacter
SIP185	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola
SIP186	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	Not_annotated	Not_annotated
SIP187	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	Not_annotated
SIP188	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	SAR202_Clade3
SIP189	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
SIP190	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
SIP191	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
SIP192	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	Not_annotated	Not_annotated
SIP193	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP194	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Henriciella
SIP195	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
SIP196	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP197	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	Not_annotated	Not_annotated
SIP198	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP199	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	Not_annotated	Not_annotated
SIP200	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
SIP201	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP202	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
SIP203	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
SIP204	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
SIP205	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
SIP206	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia
SIP207	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
SIP208	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
SIP209	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Not_annotated	Not_annotated
SIP210	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP211	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
SIP212	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda
SIP213	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
SIP214	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP215	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP216	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Maricaulis
SIP217	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
SIP218	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicibacter
SIP219	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP220	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP221	Bacteria	Chloroflexi	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP222	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	SAR202_Clade1
SIP223	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga
SIP224	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP225	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
SIP226	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP227	Bacteria	Chloroflexi	S085	Not_annotated	Not_annotated	Not_annotated
SIP228	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter
SIP229	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP230	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
SIP231	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	Not_annotated
SIP232	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
SIP233	Archaea	Thaumarchaeota	Marine_Group_I	Unknown_Order	Unknown_Family	Candidatus_Nitrosopelagicus
SIP234	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
